SubDomain Number,SubDomainName,question,option A,option B,option C,option D,option E,option F,answer,_multanswer,_stateNew,_stateWrong,_stateRight,_stateMastered,_countRight,_countWrong,_LabAssignment,_StudyRef,_AICoaching,_MarkedQuestions,_SubDomainNum,_SubDomainName, ,_OriginalNumber,_ExamNumber,_ExamName,_ImageURL,_Explanation
1.1,CloudTrail & GuardDuty,A company has an AWS account that hosts a production application. The company receives an email notiﬁcation that Amazon GuardDuty has detected an Impact:IAMUser/AnomalousBehavior ﬁnding in the account. A security engineer needs to run the investigation playbook for this security incident and must collect and analyze the information without affecting the application. Which solution will meet these requirements MOST quickly?,Log in to the AWS account by using read-only credentials. Review the GuardDuty ﬁnding for details about the IAM credentials that were used. Use the IAM console to add a DenyAll policy to the IAM principal.,Log in to the AWS account by using read-only credentials. Review the GuardDuty ﬁnding to determine which API calls initiated the ﬁnding. Use Amazon Detective to review the API calls in context.,Log in to the AWS account by using administrator credentials. Review the GuardDuty ﬁnding for details about the IAM credentials that were used. Use the IAM console to add a DenyAll policy to the IAM principal.,Log in to the AWS account by using read-only credentials. Review the GuardDuty ﬁnding to determine which API calls initiated the ﬁnding. Use AWS CloudTrail Insights and AWS CloudTrail Lake to review the API calls in context.,,,B,0,1,,,,0,0,,,,,1.2,Detection & Investigation,,9,SCS-C02,AWS Certified Security - Specialty,,"Using read-only access avoids making changes that could disrupt the application, while Amazon Detective is purpose-built to analyze GuardDuty findings and CloudTrail activity with entity graph context for rapid investigation. Options A and C involve modifying IAM (potentially impacting production), and D typically requires additional setup and querying in CloudTrail Lake, making it slower than Detective."
1.1,CloudTrail & GuardDuty,A company uses identity federation to authenticate users into an identity account (987654321987) where the users assume an IAM role named IdentityRole. The users then assume an IAM role named JobFunctionRole in the target AWS account (123456789123) to perform their job functions. A user is unable to assume the IAM role in the target account. The policy attached to the role in the identity account is: What should be done to enable the user to assume the appropriate role in the target account?,Update the IAM policy attached to the role in the identity account to be:,Update the trust policy on the role in the target account to be:,Update the trust policy on the role in the identity account to be:,Update the IAM policy attached to the role in the target account to be:,,,B,0,1,,,,0,0,,,,,4.2,Cross-Account & Federation,,34,SCS-C02,AWS Certified Security - Specialty,,"Cross-account role assumption requires the target role’s trust policy to allow the source role as a trusted principal. Since users assume IdentityRole in the identity account, the JobFunctionRole in the target account must trust arn:aws:iam::987654321987:role/IdentityRole; updating that trust policy enables sts:AssumeRole to succeed."
1.1,CloudTrail & GuardDuty,"A company recently had a security audit in which the auditors identiﬁed multiple potential threats. These potential threats can cause usage pattern changes such as DNS access peak, abnormal instance traﬃc, abnormal network interface traﬃc, and unusual Amazon S3 API calls. The threats can come from different sources and can occur at any time. The company needs to implement a solution to continuously monitor its system and identify all these incoming threats in near-real time. Which solution will meet these requirements?","Enable AWS CloudTrail logs, VPC ﬂow logs, and DNS logs. Use Amazon CloudWatch Logs to manage these logs from a centralized account.","Enable AWS CloudTrail logs, VPC ﬂow logs, and DNS logs. Use Amazon Macie to monitor these logs from a centralized account.","Enable Amazon GuardDuty from a centralized account. Use GuardDuty to manage AWS CloudTrail logs, VPC ﬂow logs, and DNS logs.","Enable Amazon Inspector from a centralized account. Use Amazon Inspector to manage AWS CloudTrail logs, VPC ﬂow logs, and DNS logs.",,,C,0,1,,,,0,0,,,,,2.3,Monitoring & Detection,,40,SCS-C02,AWS Certified Security - Specialty,,"Amazon GuardDuty is a managed threat detection service that continuously analyzes AWS CloudTrail events, VPC Flow Logs, and DNS logs to detect suspicious activity in near real time. It provides centralized, account-wide monitoring and alerts for anomalies like unusual S3 API calls and abnormal traffic patterns. Other options either only aggregate logs (CloudWatch Logs) or focus on data classification (Macie) or vulnerability scanning (Inspector), not continuous threat detection."
1.1,CloudTrail & GuardDuty,"A security engineer logs in to the AWS Lambda console with administrator permissions. The security engineer is trying to view logs in Amazon CloudWatch for a Lambda function that is named myFunction. When the security engineer chooses the option in the Lambda console to view logs in CloudWatch, an ""error loading Log Streams"" message appears. The IAM policy for the Lambda function's execution role contains the following: How should the security engineer correct the error?",Move the logs:CreateLogGroup action to the second Allow statement.,Add the logs:PutDestination action to the second Allow statement.,Add the logs:GetLogEvents action to the second Allow statement.,Add the logs:CreateLogStream action to the second Allow statement.,,,D,0,1,,,,0,0,,,,,4.1,Authentication & Authorization,,59,SCS-C02,AWS Certified Security - Specialty,,"Lambda’s execution role must be able to create a log stream in the function’s CloudWatch Logs group; without logs:CreateLogStream, the function can’t write logs, leading the console to show an error when loading log streams. The engineer already has admin permissions to read logs, so adding read actions isn’t the fix. Therefore, adding logs:CreateLogStream to the execution role resolves the issue."
1.1,CloudTrail & GuardDuty,A security engineer must use AWS Key Management Service (AWS KMS) to design a key management solution for a set of Amazon Elastic Block Store (Amazon EBS) volumes that contain sensitive data. The solution needs to ensure that the key material automatically expires in 90 days. Which solution meets these criteria?,A customer managed key that uses customer provided key material,A customer managed key that uses AWS provided key material,An AWS managed key,Operating system encryption that uses GnuPG,,,A,0,1,,,,0,0,,,,,5.3,Key Management,,84,SCS-C02,AWS Certified Security - Specialty,,"Only a customer managed KMS key with imported (customer provided) key material supports setting an expiration time, allowing the key material to automatically expire after 90 days. AWS-provided key material (customer managed or AWS managed) cannot be configured to expire—rotation is annual and does not render old key material unusable. GnuPG is outside AWS KMS and not suitable for EBS encryption integration."
1.1,CloudTrail & GuardDuty,A company's security engineer is developing an incident response plan to detect suspicious activity in an AWS account for VPC hosted resources. The security engineer needs to provide visibility for as many AWS Regions as possible. Which combination of steps will meet these requirements MOST cost-effectively? (Choose two.),Turn on VPC Flow Logs for all VPCs in the account.,Activate Amazon GuardDuty across all AWS Regions.,Activate Amazon Detective across all AWS Regions.,Create an Amazon Simple Notiﬁcation Service (Amazon SNS) topic. Create an Amazon EventBridge rule that responds to ﬁndings and publishes the ﬁndings to the SNS topic.,Create an AWS Lambda function. Create an Amazon EventBridge rule that invokes the Lambda function to publish ﬁndings to Amazon Simple Email Service (Amazon SES).,,"B, D",1,0,1,0,0,0,2,,,,,1.1,Preparation & Runbooks,,90,SCS-C02,AWS Certified Security - Specialty,,"Enabling Amazon GuardDuty across all Regions provides managed, cost‑effective threat detection for VPC‑hosted resources using existing telemetry (CloudTrail, VPC Flow Logs, DNS) and scales globally. Using EventBridge to route GuardDuty findings to an SNS topic delivers near‑real‑time, low‑cost notifications without custom code. VPC Flow Logs (A) and Detective (C) add cost and are not required for initial detection, and Lambda/SES (E) is more complex and costly than SNS."
1.1,CloudTrail & GuardDuty,"A company is using AWS WAF to protect a customized public API service that is based on Amazon EC instances. The API uses an Application Load Balancer. The AWS WAF web ACL is conﬁgured with an AWS Managed Rules rule group. After a software upgrade to the API and the client application, some types of requests are no longer working and are causing application stability issues. A security engineer discovers that AWS WAF logging is not turned on for the web ACL. The security engineer needs to immediately return the application to service, resolve the issue, and ensure that logging is not turned off in the future. The security engineer turns on logging for the web ACL and speciﬁes Amazon CloudWatch Logs as the destination. Which additional set of steps should the security engineer take to meet the requirements?",Edit the rules in the web ACL to include rules with Count actions. Review the logs to determine which rule is blocking the request. Modify the IAM policy of all AWS WAF administrators so that they cannot remove the logging conﬁguration for any AWS WAF web ACLs.,Edit the rules in the web ACL to include rules with Count actions. Review the logs to determine which rule is blocking the request. Modify the AWS WAF resource policy so that AWS WAF administrators cannot remove the logging conﬁguration for any AWS WAF web ACLs.,Edit the rules in the web ACL to include rules with Count and Challenge actions. Review the logs to determine which rule is blocking the request. Modify the AWS WAF resource policy so that AWS WAF administrators cannot remove the logging conﬁguration for any AWS WAF web ACLs.,Edit the rules in the web ACL to include rules with Count and Challenge actions. Review the logs to determine which rule is blocking the request. Modify the IAM policy of all AWS WAF administrators so that they cannot remove the logging conﬁguration for any AWS WAF web ACLs.,,,A,0,1,,,,0,0,,,,,2.1,Logging Configuration,,110,SCS-C02,AWS Certified Security - Specialty,,"Switching suspect rules to Count lets legitimate traffic pass immediately while still recording matches, so you can identify the offending rule from the CloudWatch Logs without causing outages. The Challenge action is unnecessary and could still impede clients. To ensure logging can’t be turned off, restrict administrators’ IAM permissions (e.g., deny wafv2:DeleteLoggingConfiguration), which is enforced via IAM, not a WAF resource policy."
1.1,CloudTrail & GuardDuty,"A company has many member accounts in an organization in AWS Organizations. The company is concerned about the potential for misuse of the AWS account root user credentials for member accounts in the organization. To address this potential misuse, the company wants to ensure that even if the account root user credentials are compromised the account is still protected. Which solution will meet this requirement?",Block service access by using SCPs for the root user,Remove the password for the root user,Delete access keys for the root user,Create an Amazon EventBridge rule to detect any AWS account root user API events,,,A,0,1,,,,0,0,,,,,4.1,Authentication & Authorization,,124,SCS-C02,AWS Certified Security - Specialty,,"SCPs in AWS Organizations define the maximum permissions for all principals in member accounts, including the root user, so you can explicitly deny actions and effectively neutralize a compromised root account. This provides preventative control, whereas removing passwords/keys can be reversed or incomplete, and EventBridge rules only detect, not block, misuse."
1.1,CloudTrail & GuardDuty,"A company deploys a distributed web application on a ﬂeet of Amazon EC2 instances. The ﬂeet is behind an Application Load Balancer (ALB) that will be conﬁgured to terminate the TLS connection. All TLS traﬃc to the ALB must stay secure, even if the certiﬁcate private key is compromised. How can a security engineer meet this requirement?",Create an HTTPS listener that uses a certiﬁcate that is managed by AWS Certiﬁcate Manager (ACM).,Create an HTTPS listener that uses a security policy that uses a cipher suite with perfect forward secrecy (PFS).,Create an HTTPS listener that uses the Server Order Preference security feature.,Create a TCP listener that uses a custom security policy that allows only cipher suites with perfect forward secrecy (PFS).,,,B,0,1,,,,0,0,,,,,5.1,Encryption at Rest,,129,SCS-C02,AWS Certified Security - Specialty,,"Using a security policy with perfect forward secrecy (PFS) ensures each session uses ephemeral keys that are not derived from the server’s private key, so past traffic remains secure even if the private key is compromised. ACM or Server Order Preference do not guarantee PFS, and a TCP listener would not terminate TLS at the ALB or apply TLS security policies."
1.1,CloudTrail & GuardDuty,A company uses an organization in AWS Organizations to manage hundreds of AWS accounts. Some of the accounts provide access to external AWS principals through cross-account IAM roles and Amazon S3 bucket policies. The company needs to identify which external principals have access to which accounts. Which solution will provide this information?,Enable AWS Identity and Access Management Access Analyzer for the organization. Conﬁgure the organization as a zone of trust. Filter ﬁndings by AWS account ID.,Create a custom AWS Conﬁg rule to monitor IAM roles in each account. Deploy an AWS Conﬁg aggregator to a central account. Filter ﬁndings by AWS account ID.,Activate Amazon Inspector. Integrate Amazon Inspector with AWS Security Hub. Filter ﬁndings by AWS account ID for the IAM role resource type and the S3 bucket policy resource type.,Conﬁgure the organization to use Amazon GuardDuty. Filter ﬁndings by AWS account ID for the Discovery:IAMUser/AnomalousBehavior ﬁnding type.,,,A,0,1,,,,0,0,,,,,4.2,Cross-Account & Federation,,157,SCS-C02,AWS Certified Security - Specialty,,"IAM Access Analyzer can be enabled at the organization level with the org as a zone of trust, automatically analyzing IAM roles and S3 bucket policies across all accounts to surface findings where resources are shared with external principals. You can then filter findings by AWS account ID to see which external principals have access to which accounts. The other options do not enumerate external access paths from policies (Inspector/GuardDuty) or require custom, less targeted implementations (Config)."
